Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,MaxUnder25,MaxOver25,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away,target_UNDER25
,2024-12-09,20:00:00,Tigre,Ind. Rivadavia,0.0,2.0,A,,,,2.33,2.91,3.48,2.47,3.1,3.93,,,1450.3,1498.0,-47.7,2948.3,0.0162,0,1,5,6,12,0.1111,0.3333,0.6667,0.8,-5,-7,-3,0,-3,1,4,-3,-1,3,4,0,0,0,1,2,19,0,0,0,0,0.5,0,1.0,1.2,1.3,0.8,0.9,1.6,0.2,1.0602,0.1293,0.0601,0.1293,0.1272,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,1
,2024-12-09,00:00:00,Newells Old Boys,Boca Juniors,0.0,1.0,A,,,,3.65,3.1,2.15,3.98,3.23,2.24,,,1493.1,1624.0,-130.9,3117.1,0.042,0,4,4,4,10,0.4444,0.2667,0.4444,0.6667,0,-6,4,-2,6,6,5,1,0,2,2,0,0,0,1,2,19,1,8,1,-10,0.2,10,1.7,1.3,1.1,0.7,0.6,1.2,1.0,1.0617,0.0904,0.0904,0.0419,0.1551,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,1
,2024-12-09,22:15:00,Argentinos Jrs,San Lorenzo,1.0,0.0,H,,,,1.95,2.97,4.69,2.05,3.05,5.18,,,1534.1,1499.9,34.2,3034.0,0.0113,0,3,6,1,4,0.3333,0.4,0.1111,0.2667,2,2,0,-2,2,3,4,-1,0,3,3,0,0,0,1,2,19,3,4,3,-5,0.0,10,2.1,1.7,0.7,1.0,0.5,1.0,1.1,1.0627,0.1045,0.0513,0.1045,0.163,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,1
,2024-12-09,22:15:00,Belgrano,Estudiantes L.P.,2.0,2.0,D,,,,2.79,2.98,2.73,3.04,3.09,2.93,,,1550.1,1593.2,-43.1,3143.2,0.0137,0,4,8,6,9,0.4444,0.5333,0.6667,0.6,-2,-1,0,3,-3,4,1,3,1,3,5,0,0,0,1,2,19,4,5,1,-7,0.75,10,0.9,1.2,1.4,1.2,1.2,1.6,-0.3,1.0603,0.0896,0.0896,0.0733,0.2006,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,0
,2024-12-10,00:30:00,Huracan,Platense,1.0,0.0,H,,,,2.24,2.59,4.34,2.4,2.8,4.66,,,1590.8,1534.3,56.4,3125.1,0.0181,0,1,5,6,7,0.1111,0.3333,0.6667,0.4667,-5,-2,-3,5,-8,8,8,0,0,1,2,1,0,0,1,2,19,2,1,2,1,0.3333333333333333,5,1.7,1.1,0.5,1.0,0.5,1.0,0.7,1.0629,0.0811,0.0714,0.0737,0.2543,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,1
,2024-12-10,00:30:00,Independiente,Atl. Tucuman,2.0,1.0,H,,,,1.7,3.35,5.94,2.0,3.55,6.87,,,1605.3,1494.5,110.9,3099.8,0.0358,0,6,9,1,4,0.6667,0.6,0.1111,0.2667,5,5,3,-2,5,2,7,-5,-2,3,2,1,0,0,1,2,19,3,6,1,-5,0.0,10,1.9,1.3,0.6,0.5,0.4,1.6,1.4,1.0551,0.1765,0.1765,0.1566,0.1816,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
,2024-12-13,22:00:00,Barracas Central,Lanus,3.0,3.0,D,,,,6.19,3.65,1.6,6.91,3.75,1.64,,,1499.4,1531.8,-32.4,3031.2,0.0107,0,5,9,6,8,0.5556,0.6,0.6667,0.5333,-1,1,1,4,-3,7,6,1,0,3,3,0,0,0,1,2,20,1,2,0,-2,1.0,3,0.9,0.7,1.3,1.1,0.9,1.5,-0.2,1.0605,0.1163,0.1163,0.025,0.4015,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,0
,2024-12-13,22:00:00,Estudiantes L.P.,Argentinos Jrs,2.0,2.0,D,,,,2.41,3.04,3.15,2.55,3.1,3.34,,,1593.9,1541.2,52.6,3135.1,0.0168,0,4,10,6,6,0.4444,0.6667,0.6667,0.4,-2,4,-2,6,-8,4,4,0,0,6,3,0,0,0,1,2,20,1,5,4,-6,0.0,10,1.6,1.2,1.0,0.2,0.4,1.4,1.4,1.0613,0.0603,0.0581,0.0603,0.2786,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,0
,2024-12-14,00:15:00,Banfield,Sarmiento Junin,1.0,1.0,D,,,,2.3,2.87,3.59,2.45,3.0,3.86,,,1455.7,1440.5,15.3,2896.2,0.0053,0,0,1,4,4,0.0,0.0667,0.4444,0.2667,-4,-3,-1,4,-5,6,8,-2,-1,3,2,0,0,0,1,2,20,2,0,7,4,0.3333333333333333,9,0.9,1.2,1.4,0.3,0.4,1.5,0.6,1.0618,0.0752,0.0652,0.0752,0.2108,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
,2024-12-14,22:15:00,Boca Juniors,Independiente,0.0,0.0,D,,,,2.18,3.02,3.67,2.27,3.12,3.82,,,1632.2,1610.6,21.7,3242.8,0.0067,0,6,10,9,12,0.6667,0.6667,1.0,0.8,-3,-2,2,6,-4,5,4,1,0,3,3,0,0,0,1,2,20,4,2,4,3,0.0,10,2.3,1.7,0.8,1.4,0.9,0.5,0.9,1.0623,0.0413,0.0413,0.0409,0.1971,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
