Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away
D1,2025-08-22,19:30:00,Bayern Munich,RB Leipzig,6.0,0.0,H,3.0,0.0,H,1.21,7.13,10.3,1.26,7.5,12.0,1864.3,1663.7,200.6,3527.9,0.0569,1,7,13,2,3,0.7778,0.8667,0.2222,0.2,5,10,1,1,0,30,30,0,0,0,0,0,0,0,0,1,4,5,1,4,8,0.6,10,2.5,3.1,1.2,0.8,0.8,1.7,1.7,1.0638,0.165,0.0413,0.165,0.0491,18.8,8.4,13.3,15.5,10.4,-2.2,0.7,-1.1,1,0,0
D1,2025-08-23,14:30:00,Ein Frankfurt,Werder Bremen,4.0,1.0,H,2.0,0.0,H,1.69,4.0,4.46,1.73,4.2,4.6,1673.6,1593.0,80.6,3266.6,0.0247,0,5,9,5,9,0.5556,0.6,0.5556,0.6,0,0,1,1,0,30,30,0,0,0,0,0,0,0,0,1,4,4,2,4,4,0.4,10,2.0,2.2,1.1,1.7,1.9,1.8,0.3,1.0659,0.05,0.0237,0.0314,0.149,12.8,10.7,14.6,13.9,2.1,0.7,0.6,-0.5,1,0,0
D1,2025-08-23,14:30:00,Freiburg,Augsburg,1.0,3.0,A,0.0,3.0,A,1.82,3.58,4.25,1.86,3.7,4.5,1600.0,1523.1,76.9,3123.2,0.0246,0,4,10,0,1,0.4444,0.6667,0.0,0.0667,4,9,-2,-1,-1,30,30,0,0,0,0,0,0,0,0,1,4,7,1,2,15,1.0,10,1.4,1.8,1.7,1.8,1.2,0.9,-0.4,1.0641,0.0588,0.022,0.0588,0.1833,12.6,12.3,12.1,14.8,0.3,-2.7,-0.7,-0.8,0,0,1
D1,2025-08-23,14:30:00,Heidenheim,Wolfsburg,1.0,3.0,A,1.0,1.0,D,3.05,3.51,2.2,3.2,3.6,2.25,1468.9,1551.4,-82.5,3020.3,0.0273,0,4,7,4,5,0.4444,0.4667,0.4444,0.3333,0,2,1,3,-2,30,30,0,0,0,0,0,0,0,0,1,4,1,2,1,-3,0.0,4,0.7,0.7,1.9,1.4,1.1,1.4,-0.7,1.0673,0.0492,0.0492,0.0227,0.1748,12.2,14.2,13.5,14.0,-2.0,-0.5,-1.0,0.2,0,0,1
D1,2025-08-23,14:30:00,Leverkusen,Hoffenheim,1.0,2.0,A,1.0,1.0,D,1.5,4.63,5.56,1.55,5.4,6.2,1810.6,1510.5,300.1,3321.1,0.0904,1,2,6,2,2,0.2222,0.4,0.2222,0.1333,0,4,-2,2,-4,30,30,0,0,0,0,0,0,0,0,1,4,7,1,2,11,0.6,10,2.0,1.9,1.0,1.1,1.7,2.3,0.9,1.0625,0.1663,0.0333,0.1151,0.2664,12.1,10.5,12.9,14.2,1.6,-1.3,1.5,-0.2,0,0,1
D1,2025-08-23,17:30:00,St Pauli,Dortmund,3.0,3.0,D,0.0,1.0,A,4.52,3.85,1.71,4.75,4.1,1.75,1427.7,1722.8,-295.1,3150.6,0.0937,1,1,3,9,15,0.1111,0.2,1.0,1.0,-8,-12,-1,3,-4,30,30,0,0,0,0,0,0,0,0,1,4,0,5,1,-8,0.0,6,0.9,0.7,1.0,1.6,1.9,1.8,-0.7,1.0658,0.0649,0.0509,0.0234,0.0073,11.5,11.0,15.5,12.4,0.5,3.1,-0.7,0.9,0,1,0
D1,2025-08-23,14:30:00,Union Berlin,Stuttgart,2.0,1.0,H,2.0,0.0,H,3.3,3.59,2.06,3.4,3.75,2.1,1522.4,1662.1,-139.8,3184.5,0.0439,0,4,6,9,10,0.4444,0.4,1.0,0.6667,-5,-4,2,8,-6,30,30,0,0,0,0,0,0,0,0,1,4,3,3,4,-1,0.4,10,1.0,1.1,1.6,1.8,1.8,1.3,-0.8,1.067,0.0446,0.0303,0.0194,0.1169,9.8,13.2,14.7,11.6,-3.4,3.1,-2.1,-1.0,1,0,0
D1,2025-08-24,16:30:00,M'gladbach,Hamburg,0.0,0.0,D,0.0,0.0,D,1.82,3.92,3.78,1.88,4.1,4.0,1498.2,1478.2,20.0,2976.4,0.0067,0,1,1,6,9,0.1111,0.0667,0.6667,0.6,-5,-8,1,3,-2,30,30,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0.5,0,0.889,1.222,1.667,0.5,0.6,2.1,0.389,1.0691,0.0582,0.033,0.0582,0.1128,12.2,20.6,12.3,12.1,-8.4,0.2,-2.1,-1.0,0,1,0
D1,2025-08-24,14:30:00,Mainz,FC Koln,0.0,1.0,A,0.0,0.0,D,1.86,3.61,3.95,1.91,3.7,4.1,1624.5,1476.5,148.0,3101.0,0.0477,0,5,6,4,5,0.5556,0.4,0.4444,0.3333,1,1,4,3,1,30,30,0,0,0,0,0,0,0,0,1,4,3,2,5,6,0.4,10,1.8,1.6,0.9,0.6,0.9,1.8,1.2,1.0678,0.038,0.0269,0.038,0.2747,14.4,12.8,15.2,14.7,1.6,0.5,-1.0,-0.7,0,0,1
D1,2025-08-29,19:30:00,Hamburg,St Pauli,0.0,2.0,A,0.0,1.0,A,2.39,3.26,2.99,2.46,3.33,3.05,1480.0,1434.0,46.0,2914.0,0.0158,0,4,10,2,3,0.4444,0.6667,0.2222,0.2,2,7,-2,1,-3,5,6,-1,0,1,1,0,0,0,0,1,5,2,1,1,4,0.5,4,1.2,1.0,1.2,1.2,1.0,1.2,0.0,1.0596,0.0293,0.0293,0.0201,0.2662,11.2,13.3,11.2,10.2,-2.1,1.0,0.9,-0.5,0,0,1
