Division,MatchDate,MatchTime,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HTHome,HTAway,HTResult,OddHome,OddDraw,OddAway,MaxHome,MaxDraw,MaxAway,MaxUnder25,MaxOver25,HomeElo,AwayElo,elo_diff,elo_sum,elo_mismatch,elo_mismatch_flag,Form3Home,Form5Home,Form3Away,Form5Away,Form3Home_ratio,Form5Home_ratio,Form3Away_ratio,Form5Away_ratio,form_diff_3,form_diff_5,form_momentum_home,form_momentum_away,form_momentum,home_rest_days,away_rest_days,rest_diff,rest_diff_nonlinear,home_congestion_14d,away_congestion_14d,is_midweek,is_early_kickoff,is_evening_match,winter_period,season_phase,match_week,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals_diff,h2h_home_venue_record,h2h_matches_count,home_team_home_ppg,home_team_goals_scored_avg,home_team_goals_conceded_avg,away_team_away_ppg,away_team_goals_scored_avg,away_team_goals_conceded_avg,venue_ppg_diff,overround,odds_disagreement,sharp_money_home,sharp_money_away,elo_vs_odds_home,home_shots_avg,home_shots_against_avg,away_shots_avg,away_shots_against_avg,shots_dominance_home,shots_dominance_away,corners_diff,discipline_diff,target_home,target_draw,target_away,target_UNDER25
MEXICO,2024-12-06,02:00:00,Club America,Cruz Azul,0.0,0.0,D,,,,2.5,3.08,2.91,2.71,3.3,3.1,,,1682.7,1677.2,5.5,3360.0,0.0016,0,7,8,4,8,0.7778,0.5333,0.4444,0.5333,3,0,6,0,6,1,5,-4,-2,4,2,0,0,0,1,2,19,6,2,2,7,0.75,10,2.2,1.6,0.5,1.9,1.7,1.5,0.3,1.0683,0.084,0.084,0.0653,0.2326,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
MEXICO,2024-12-08,02:00:00,Monterrey,Atl. San Luis,5.0,1.0,H,,,,1.59,4.1,5.12,1.66,4.3,5.49,,,1671.6,1558.6,113.0,3230.2,0.035,0,6,12,7,11,0.6667,0.8,0.7778,0.7333,-1,1,0,3,-3,3,3,0,0,3,3,0,0,0,1,2,19,2,4,4,0,0.5,10,2.3,2.0,1.0,0.8,0.7,1.5,1.5,1.0681,0.0723,0.044,0.0723,0.1526,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
MEXICO,2024-12-09,01:00:00,Cruz Azul,Club America,3.0,4.0,A,,,,2.22,3.03,3.52,2.32,3.2,3.72,,,1679.9,1680.1,-0.2,3360.0,0.0001,0,4,6,5,9,0.4444,0.4,0.5556,0.6,-1,-3,2,1,1,3,3,0,0,3,4,0,0,0,1,2,19,2,6,2,-7,0.3333333333333333,10,2.6,2.5,0.3,1.4,1.6,1.5,1.2,1.0646,0.0568,0.045,0.0568,0.1759,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
MEXICO,2024-12-13,02:00:00,Club America,Monterrey,2.0,1.0,H,,,,1.91,3.21,4.21,2.04,3.28,4.48,,,1692.6,1681.2,11.4,3373.8,0.0034,0,5,11,6,12,0.5556,0.7333,0.6667,0.8,-1,-1,-1,0,-1,4,5,-1,0,4,4,0,0,0,1,2,20,4,4,2,2,0.6,10,2.0,1.5,0.5,1.7,1.7,1.3,0.3,1.0726,0.0681,0.0681,0.0641,0.127,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
MEXICO,2024-12-16,01:00:00,Monterrey,Club America,1.0,1.0,D,,,,2.23,3.16,3.34,2.31,3.3,3.54,,,1673.9,1699.8,-25.9,3373.8,0.0077,0,3,9,7,11,0.3333,0.6,0.7778,0.7333,-4,-2,-3,3,-6,3,3,0,0,3,4,0,0,0,1,2,20,3,5,2,-4,0.75,10,2.6,2.4,0.9,1.7,1.9,1.4,0.9,1.0643,0.0599,0.0359,0.0599,0.1418,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
MEXICO,2025-01-11,03:00:00,Mazatlan FC,Juarez,1.0,1.0,D,,,,1.83,3.71,3.99,1.91,3.81,4.35,,,1416.0,1421.4,-5.4,2837.4,0.0019,0,1,2,7,7,0.1111,0.1333,0.7778,0.4667,-6,-5,0,7,-7,30,30,0,0,0,0,0,0,0,1,2,24,2,7,1,-6,0.25,10,1.3,1.2,1.5,1.5,1.4,2.2,-0.2,1.0666,0.0902,0.0437,0.0902,0.0796,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
MEXICO,2025-01-11,01:00:00,Queretaro,Club America,0.0,1.0,A,,,,2.05,3.57,3.34,2.16,3.8,3.55,,,1444.1,1701.6,-257.5,3145.7,0.0818,1,3,3,7,9,0.3333,0.2,0.7778,0.6,-4,-6,3,5,-2,30,26,4,1,0,0,0,0,0,1,2,24,0,5,5,-7,0.0,10,1.0,0.8,1.3,1.7,1.9,1.4,-0.7,1.0673,0.0644,0.0537,0.0629,-0.2034,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,1
MEXICO,2025-01-11,03:05:00,Club Tijuana,Toluca,2.0,4.0,A,,,,2.55,3.47,2.57,2.68,3.65,2.7,,,1519.7,1634.9,-115.2,3154.6,0.0365,0,6,10,1,4,0.6667,0.6667,0.1111,0.2667,5,6,2,-2,4,30,30,0,0,0,0,0,0,0,1,2,24,3,6,1,-11,0.25,10,2.1,1.8,1.1,1.2,1.3,1.5,0.9,1.0694,0.0519,0.051,0.0506,0.0686,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
MEXICO,2025-01-11,23:00:00,Atl. San Luis,Tigres UANL,1.0,3.0,A,,,,3.46,3.4,2.07,3.63,3.5,2.14,,,1549.0,1638.7,-89.7,3187.7,0.0281,0,4,10,2,8,0.4444,0.6667,0.2222,0.5333,2,2,-2,-4,2,30,30,0,0,0,0,0,0,0,1,2,24,1,5,4,-6,0.2,10,2.5,2.3,0.8,1.4,1.4,1.3,1.1,1.0662,0.0491,0.0491,0.0338,0.2007,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,0
MEXICO,2025-01-12,03:05:00,Cruz Azul,Atlas,1.0,1.0,D,,,,1.37,4.52,8.76,1.4,4.8,9.75,,,1667.4,1475.3,192.0,3142.7,0.0611,0,4,5,4,5,0.4444,0.3333,0.4444,0.3333,0,0,3,3,0,30,30,0,0,0,0,0,0,0,1,2,24,3,5,2,-4,0.5,10,2.3,2.5,0.7,0.9,0.8,2.1,1.4,1.0653,0.113,0.0219,0.113,0.1337,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
MEXICO,2025-01-12,01:05:00,Guadalajara Chivas,Santos Laguna,1.0,0.0,H,,,,1.47,4.21,6.67,1.51,4.7,7.5,,,1581.2,1361.2,219.9,2942.4,0.0747,1,1,5,0,1,0.1111,0.3333,0.0,0.0667,1,4,-3,-1,-2,30,30,0,0,0,0,0,0,0,1,2,24,5,1,4,7,0.6666666666666666,10,1.4,1.3,1.2,0.1,0.5,2.1,1.3,1.0677,0.1244,0.0272,0.1244,0.2043,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,1
MEXICO,2025-01-12,18:00:00,UNAM Pumas,Necaxa,2.0,1.0,H,,,,1.74,3.57,4.75,1.8,3.75,5.41,,,1571.7,1448.7,123.0,3020.5,0.0407,0,3,7,2,2,0.3333,0.4667,0.2222,0.1333,1,5,-1,2,-3,30,30,0,0,0,0,0,0,0,1,2,24,3,5,2,-6,0.4,10,1.8,1.7,1.3,0.3,0.7,2.1,1.5,1.0654,0.1389,0.0345,0.1389,0.2129,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1,0,0,0
MEXICO,2025-01-13,01:00:00,Monterrey,Puebla,1.0,1.0,D,,,,1.28,5.23,10.68,1.3,5.72,12.1,,,1672.2,1354.8,317.4,3026.9,0.1049,1,4,7,0,3,0.4444,0.4667,0.0,0.2,4,4,1,-3,4,28,30,-2,-1,0,0,0,0,0,1,2,24,4,1,5,4,0.6666666666666666,10,2.4,2.2,0.8,0.4,0.4,2.0,2.0,1.0661,0.133,0.0156,0.133,0.1701,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0,1,0,1
